Defunciones por homicidios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Año de ocurrencia : Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consulta de: Defunciones por homicidio   Por: Año de registro   Según: Ent y mun de ocurrencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas,Extranjero,No especificado,
1990,"14,493",43,260,12,82,182,78,272,306,"1,272",289,361,770,202,832,"3,449","1,170",379,243,72,"1,211",526,82,57,234,445,166,132,266,47,776,65,145,67,,
1991,"15,128",53,283,16,65,235,99,470,454,"1,100",335,397,"1,005",150,782,"3,464","1,163",342,232,91,"1,282",422,77,53,210,542,193,119,338,31,843,63,138,81,,
1992,"16,594",35,313,18,87,229,121,437,462,"1,259",601,352,"1,578",122,783,"3,354","1,389",376,251,120,"1,275",540,78,54,258,594,241,136,407,46,753,48,165,112,,
1993,"16,040",32,290,21,77,220,70,504,456,"1,249",344,379,"1,296",131,781,"3,315","1,345",493,253,121,"1,335",597,80,80,240,552,210,154,369,45,696,59,144,102,,
1994,"15,839",23,352,28,74,214,78,648,573,"1,180",347,324,"1,198",158,703,"3,185","1,270",463,268,134,"1,175",496,101,156,234,596,249,239,355,42,703,47,121,105,,
1995,"15,612",34,398,32,98,176,62,708,747,"1,361",307,284,"1,260",156,781,"2,748","1,124",353,193,123,"1,183",599,88,74,209,617,315,234,321,71,617,49,164,126,,
1996,"14,505",31,380,25,80,168,45,653,648,"1,278",257,288,"1,027",127,750,"2,762","1,124",346,123,111,"1,128",478,104,63,208,646,331,185,275,61,554,42,119,88,,
1997,"13,552",23,338,36,78,152,51,605,648,"1,216",243,296,"1,074",140,628,"2,465",841,302,155,117,976,502,107,87,203,595,276,163,280,68,634,46,120,87,,
1998,"13,656",44,581,19,87,143,64,824,628,"1,216",243,308,"1,129",148,559,"2,378",644,315,130,131,964,496,83,79,315,563,304,145,323,64,494,45,122,68,,
1999,"12,249",24,637,34,77,145,60,605,547,"1,043",214,255,957,117,549,"2,139",639,309,124,108,789,453,92,86,287,525,286,147,288,75,442,34,82,80,,
2000,"10,737",17,440,28,66,120,57,429,588,924,161,233,804,87,475,"2,012",596,238,107,109,709,393,105,74,274,458,201,93,264,56,423,43,80,73,,
2001,"10,285",23,404,23,53,155,57,173,621,983,166,224,641,119,495,"1,932",630,210,108,92,640,423,108,103,230,488,257,101,188,52,380,37,91,78,,
2002,"10,088",27,427,32,54,140,43,475,634,939,177,210,616,53,480,"1,948",534,175,147,105,608,377,69,70,158,472,223,97,186,52,352,47,96,65,,
2003,"10,087",25,454,25,44,121,42,443,542,975,213,220,600,71,478,"1,912",557,169,110,148,621,348,84,136,145,419,229,116,227,39,406,42,91,35,,
2004,"9,329",21,480,29,37,117,53,223,478,948,166,177,591,88,411,"1,734",552,158,140,114,626,364,74,137,136,381,252,110,217,52,331,36,94,2,,
2005,"9,921",25,439,34,47,154,49,303,570,878,169,216,589,73,443,"2,018",680,138,131,151,547,316,80,76,136,436,259,99,348,49,344,38,78,8,,
2006,"10,452",26,465,26,33,104,43,538,648,819,181,207,788,48,480,"1,748",988,141,103,169,520,353,61,67,159,457,249,145,358,45,359,42,77,5,,
2007,"8,867",44,369,35,50,107,43,101,518,848,178,219,764,74,450,"1,243",556,126,108,279,563,274,56,121,142,397,321,146,193,36,380,49,73,4,,
2008,"14,006",59,"1,031",38,54,175,56,262,"2,604",931,426,296,"1,001",75,547,"1,579",658,215,155,241,617,352,73,144,199,820,435,154,265,54,341,49,98,2,,
2009,"19,803",67,"1,530",34,58,270,61,514,"3,680",981,"1,033",492,"1,851",145,681,"1,864",934,259,195,342,598,360,89,141,211,"1,413",573,173,315,81,692,37,129,,,
2010,"25,757",75,"1,525",55,48,449,131,199,"6,421","1,078","1,112",446,"1,567",113,"1,081","2,114",707,494,541,928,731,376,73,145,363,"2,397",740,194,963,56,461,34,140,,,
2011,"27,213",105,822,50,51,718,169,196,"4,487","1,100","1,085",616,"2,397",211,"1,527","2,627",853,435,583,"2,149",685,440,109,164,364,"1,967",542,230,"1,097",89,999,53,292,1,,
2012,"25,967",48,587,37,81,"1,146",265,389,"2,776","1,086",838,692,"2,638",161,"1,558","2,900",830,672,288,"1,833",696,465,114,154,455,"1,380",526,195,"1,557",75,"1,017",42,463,3,,
2013,"23,063",49,771,49,71,798,227,493,"2,136","1,107",475,701,"2,283",168,"1,488","3,311",919,630,226,932,762,560,119,164,302,"1,206",659,247,882,88,761,49,430,,,
2014,"20,010",46,714,93,78,475,138,460,"1,758","1,089",348,802,"1,727",210,"1,040","2,918",930,439,173,575,745,565,107,125,270,"1,154",665,236,910,93,881,48,197,1,,
2015,"20,762",47,852,181,67,314,229,546,"1,541","1,079",207,969,"2,421",235,"1,228","2,688",873,469,146,474,810,632,140,145,265,"1,089",585,364,682,79,"1,007",58,337,3,,
2016,"24,559",49,"1,151",238,93,259,612,552,"1,795","1,280",215,"1,231","2,587",220,"1,302","2,768","1,429",658,149,627,798,736,137,193,335,"1,294",580,431,807,95,"1,293",64,580,1,,
2017,"32,079",80,"2,155",740,74,261,828,592,"2,168","1,319",205,"2,241","2,597",309,"1,565","3,072","1,726",654,470,664,995,"1,082",217,451,502,"1,629",749,447,"1,198",124,"1,808",52,703,,402,
2018,"36,685",77,"2,855",181,76,220,683,518,"2,753","1,457",150,"3,412","2,164",302,"2,773","3,134","1,970",818,363,840,"1,099","1,173",227,822,529,"1,107",905,528,"1,073",144,"1,458",57,714,,"2,103",
2019,"36,661",96,"2,762",95,79,279,706,620,"2,666","1,283",165,"3,855","1,907",478,"2,481","3,224","2,420","1,050",213,981,"1,143","1,242",221,718,508,"1,126","1,367",688,863,190,"1,446",46,678,,"1,065",
2020,"36,773",84,"2,926",70,66,231,624,536,"3,452","1,334",146,"5,083","1,457",364,"2,162","3,061","2,375",986,182,919,858,960,226,623,794,860,"1,563",581,780,153,"1,142",72,"1,226",,877,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUENTE: INEGI. Estadísticas de mortalidad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,